Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1986;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;5;Número;
1986;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;0;Número;
1986;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
1986;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
1986;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;1;Número;
1986;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;14;Número;
1986;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;15;Número;
1986;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;1;Número;
1986;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;10;Número;
1986;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;11;Número;
1986;Total diputados en el Congreso de los Diputados;Otros;;;33;Número;
1986;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1986;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1986;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1986;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1986;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
1986;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
1986;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;5;Número;
1989;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;4;Número;
1989;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;12;Número;
1989;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1989;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;3;Número;
1989;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1989;Total diputados en el Congreso de los Diputados;Otros;;;33;Número;
1989;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;12;Número;
1989;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;2;Número;
1989;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;2;Número;
1989;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;5;Número;
1989;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1989;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1989;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
1989;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;10;Número;
1989;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
1989;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1989;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;4;Número;
1989;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
1989;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;2;Número;
1993;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
1993;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
1993;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
1993;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1993;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1993;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1993;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1993;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1993;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1993;Total diputados en el Congreso de los Diputados;Otros;;;34;Número;
1993;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;16;Número;
1993;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;14;Número;
1993;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;2;Número;
1993;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;13;Número;
1993;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;10;Número;
1993;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
1993;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;5;Número;
1993;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;4;Número;
1993;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;1;Número;
1996;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
1996;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;3;Número;
1996;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
1996;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1996;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
1996;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
1996;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1996;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1996;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
1996;Total diputados en el Congreso de los Diputados;Otros;;;34;Número;
1996;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;17;Número;
1996;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;15;Número;
1996;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;2;Número;
1996;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;11;Número;
1996;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;8;Número;
1996;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
